codigo,nombre
G00,Meningitis bacteriana no clasificada en otra parte
G00.0,Meningitis por Haemophilus
G00.1,Meningitis neumococica
G00.2,Meningitis estreptococica
G00.3,Meningitis estafilococica
G00.9,Meningitis bacteriana no especificada
G01,Meningitis en enfermedades bacterianas clasificadas en otra parte
G02,Meningitis en otras enfermedades infecciosas y parasitarias clasificadas en otra parte
G03,Meningitis debida a otras causas y a las no especificadas
G03.0,Meningitis apiogena
G03.9,Meningitis no especificada
G04,Encefalitis mielitis y encefalomielitis
G04.0,Encefalitis aguda diseminada
G04.9,Encefalitis mielitis y encefalomielitis no especificadas
G05,Encefalitis mielitis y encefalomielitis en enfermedades clasificadas en otra parte
G06,Absceso y granuloma intracraneal e intrarraquideo
G06.0,Absceso y granuloma intracraneales
G06.1,Absceso y granuloma intrarraquideos
G06.2,Absceso extradural y subdural no especificado
G09,Secuelas de enfermedades inflamatorias del sistema nervioso central
G10,Enfermedad de Huntington
G11,Ataxia hereditaria
G11.4,Paraplejia espastica hereditaria
G12,Atrofia muscular espinal y sindromes afines
G12.2,Enfermedad de la neurona motora
G20,Enfermedad de Parkinson
G21,Parkinsonismo secundario
G21.0,Sindrome neuroleptico maligno
G23,Otras enfermedades degenerativas de los ganglios basales
G24,Distonia
G24.0,Distonia inducida por drogas
G24.9,Distonia no especificada
G25,Otros trastornos extrapiramidales y del movimiento
G25.0,Temblor esencial
G25.3,Mioclonia
G25.5,Otros tipos de corea
G25.8,Otros trastornos extrapiramidales y del movimiento especificados
G25.9,Trastorno extrapiramidal y del movimiento no especificado
G30,Enfermedad de Alzheimer
G30.0,Enfermedad de Alzheimer de comienzo temprano
G30.1,Enfermedad de Alzheimer de comienzo tardio
G30.9,Enfermedad de Alzheimer no especificada
G31,Otras enfermedades degenerativas del sistema nervioso no clasificadas en otra parte
G31.0,Atrofia cerebral circunscrita
G31.2,Degeneracion del sistema nervioso debida al alcohol
G35,Esclerosis multiple
G36,Otras desmielinizaciones agudas diseminadas
G37,Otras enfermedades desmielinizantes del sistema nervioso central
G40,Epilepsia
G40.0,Epilepsia y sindromes epilepticos idiopaticos relacionados con localizaciones (focales) (parciales) con ataques de inicio parcial
G40.1,Epilepsia y sindromes epilepticos sintomaticos relacionados con localizaciones (focales) (parciales) con ataques parciales simples
G40.2,Epilepsia y sindromes epilepticos sintomaticos relacionados con localizaciones (focales) (parciales) con ataques parciales complejos
G40.3,Epilepsia y sindromes epilepticos idiopaticos generalizados
G40.4,Otras epilepsias y sindromes epilepticos generalizados
G40.5,Sindromes epilepticos especiales
G40.6,Ataques de gran mal no especificados (con o sin pequeno mal)
G40.7,Pequeno mal no especificado sin ataques de gran mal
G40.8,Otras epilepsias
G40.9,Epilepsia tipo no especificado
G41,Estado de mal epileptico
G41.0,Estado de gran mal epileptico
G41.1,Estado de pequeno mal epileptico
G41.2,Estado de mal epileptico parcial complejo
G41.9,Estado de mal epileptico de tipo no especificado
G43,Migrana
G43.0,Migrana sin aura [migrana comun]
G43.1,Migrana con aura [migrana clasica]
G43.2,Estado miganoso
G43.3,Migrana complicada
G43.8,Otras migranas
G43.9,Migrana no especificada
G44,Otros sindromes de cefalea
G44.0,Sindrome de cefalea en racimos
G44.1,Cefalea vascular no clasificada en otra parte
G44.2,Cefalea debida a tension
G44.3,Cefalea postraumatica cronica
G44.4,Cefalea inducida por drogas no clasificada en otra parte
G44.8,Otros sindromes de cefalea especificados
G45,Ataques de isquemia cerebral transitoria y sindromes afines
G45.0,Sindrome vertebro-basilar
G45.1,Sindrome de la arteria carotida (hemisferico)
G45.9,Ataque de isquemia cerebral transitoria sin otra especificacion
G46,Sindromes vasculares cerebrales en enfermedades cerebrovasculares
G47,Trastornos del sueno
G47.0,Trastornos del inicio y del mantenimiento del sueno [insomnios]
G47.1,Trastornos de somnolencia excesiva [hipersomnios]
G47.2,Trastornos del ciclo sueno-vigilia
G47.3,Apnea del sueno
G47.4,Narcolepsia y cataplexia
G47.8,Otros trastornos del sueno
G47.9,Trastorno del sueno no especificado
G50,Trastornos del nervio trigemino
G50.0,Neuralgia del trigemino
G50.9,Trastorno del nervio trigemino no especificado
G51,Trastornos del nervio facial
G51.0,Paralisis de Bell
G51.9,Trastorno del nervio facial no especificado
G52,Trastornos de otros nervios craneales
G53,Trastornos de los nervios craneales en enfermedades clasificadas en otra parte
G54,Trastornos de las raices y de los plexos nerviosos
G54.0,Trastornos del plexo braquial
G54.1,Trastornos del plexo lumbosacro
G54.4,Trastornos de las raices lumbosacras no clasificados en otra parte
G55,Compresiones de las raices y de los plexos nerviosos en enfermedades clasificadas en otra parte
G56,Mononeuropatias del miembro superior
G56.0,Sindrome del tunel carpiano
G56.1,Otras lesiones del nervio mediano
G56.2,Lesion del nervio cubital
G56.3,Lesion del nervio radial
G56.9,Mononeuropatia del miembro superior sin otra especificacion
G57,Mononeuropatias del miembro inferior
G57.0,Lesion del nervio ciatico
G57.1,Meralgia parestesica
G57.5,Sindrome del tunel del tarso
G57.9,Mononeuropatia del miembro inferior sin otra especificacion
G58,Otras mononeuropatias
G58.0,Neuropatia intercostal
G58.9,Mononeuropatia no especificada
G60,Neuropatia hereditaria e idiopatica
G60.0,Neuropatia hereditaria motora y sensorial
G60.9,Neuropatia hereditaria e idiopatica no especificada
G61,Polineuropatia inflamatoria
G61.0,Sindrome de Guillain-Barre
G61.1,Neuropatia serica
G62,Otras polineuropatias
G62.0,Polineuropatia inducida por drogas
G62.1,Polineuropatia alcoholica
G62.9,Polineuropatia no especificada
G63,Polineuropatia en enfermedades clasificadas en otra parte
G63.2,Polineuropatia diabetica
G64,Otros trastornos del sistema nervioso periferico
G70,Miastenia gravis y otros trastornos neuromusculares
G70.0,Miastenia gravis
G70.9,Trastorno neuromuscular no especificado
G71,Trastornos primarios de los musculos
G71.0,Distrofia muscular
G71.1,Trastornos miotonicos
G71.2,Miopatias congenitas
G71.3,Miopatia mitocondrial no clasificada en otra parte
G72,Otras miopatias
G72.0,Miopatia inducida por drogas
G72.9,Miopatia no especificada
G73,Trastornos del area neuromuscular y de los musculos en enfermedades clasificadas en otra parte
G80,Paralisis cerebral infantil
G80.0,Paralisis cerebral espastica
G80.1,Diplejia espastica
G80.3,Paralisis cerebral discinetica
G80.9,Paralisis cerebral infantil sin otra especificacion
G81,Hemiplejia
G81.0,Hemiplejia flaccida
G81.1,Hemiplejia espastica
G81.9,Hemiplejia no especificada
G82,Paraplejia y cuadriplejia
G82.0,Paraplejia flaccida
G82.1,Paraplejia espastica
G82.2,Paraplejia no especificada
G82.3,Cuadriplejia flaccida
G82.4,Cuadriplejia espastica
G82.5,Cuadriplejia no especificada
G83,Otros sindromes paraliticos
G83.0,Diplejia de los miembros superiores
G83.1,Monoplejia del miembro inferior
G83.2,Monoplejia del miembro superior
G83.4,Sindrome de la cola de caballo
G83.9,Sindrome paralitico no especificado
G90,Trastornos del sistema nervioso autonomo
G90.0,Neuropatia autonoma periferica idiopatica
G90.9,Trastorno del sistema nervioso autonomo no especificado
G91,Hidrocefalo
G91.0,Hidrocefalo comunicante
G91.1,Hidrocefalo obstructivo
G91.2,Hidrocefalo de presion normal
G91.9,Hidrocefalo no especificado
G93,Otros trastornos del encefalo
G93.0,Quistes cerebrales
G93.1,Lesion cerebral anoxica no clasificada en otra parte
G93.2,Hipertension intracraneal benigna
G93.3,Sindrome de fatiga postviral
G93.4,Encefalopatia no especificada
G93.5,Compresion del encefalo
G93.6,Edema cerebral
G93.8,Otros trastornos especificados del encefalo
G93.9,Trastorno del encefalo no especificado
G95,Otras enfermedades de la medula espinal
G95.0,Siringomielia y siringobulbia
G95.1,Mielopatias vasculares
G95.9,Enfermedad de la medula espinal no especificada
G96,Otros trastornos del sistema nervioso central
G96.0,Perdida de liquido cefalorraquideo
G97,Trastornos del sistema nervioso consecutivos a procedimientos no clasificados en otra parte
G97.0,Perdida de liquido cefalorraquideo por puncion espinal
G99,Otros trastornos del sistema nervioso en enfermedades clasificadas en otra parte
H00,Orzuelo y calacio
H00.0,Orzuelo y otras inflamaciones profundas del parpado
H00.1,Calacio
H01,Otras inflamaciones del parpado
H01.0,Blefaritis
H02,Otros trastornos de los parpados
H02.0,Entropion y triquiasis del parpado
H02.1,Ectropion del parpado
H02.3,Blefarocalasia
H02.4,Ptosis del parpado
H04,Trastornos del aparato lagrimal
H04.0,Dacrioadenitis
H04.1,Otros trastornos de la glandula lagrimal
H04.2,Epifora
H04.3,Inflamacion aguda y la no especificada de las vias lagrimales
H04.4,Inflamacion cronica de las vias lagrimales
H04.5,Estenosis e insuficiencia de las vias lagrimales
H05,Trastornos de la orbita
H05.0,Inflamacion aguda de la orbita
H05.2,Afecciones exoftalmicas
H10,Conjuntivitis
H10.0,Conjuntivitis mucopurulenta
H10.1,Conjuntivitis atopica aguda
H10.2,Otras conjuntivitis agudas
H10.3,Conjuntivitis aguda no especificada
H10.4,Conjuntivitis cronica
H10.5,Blefaroconjuntivitis
H10.9,Conjuntivitis no especificada
H11,Otros trastornos de la conjuntiva
H11.0,Pterigion
H11.1,Degeneraciones y depositos de la conjuntiva
H11.3,Hemorragia conjuntival
H11.4,Otros trastornos vasculares y quistes de la conjuntiva
H15,Trastornos de la esclerotica
H15.0,Escleritis
H15.1,Episcleritis
H16,Queratitis
H16.0,Ulcera de la cornea
H16.1,Otras queratitis superficiales sin conjuntivitis
H16.2,Queratoconjuntivitis
H16.9,Queratitis no especificada
H17,Opacidades y cicatrices corneales
H17.0,Leucoma adherente
H17.1,Otras opacidades centrales de la cornea
